Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
11/10/2021,45,TX,46851965,2293300,17666140,26892525,0,161581,194398,216947,1254660,35420138,35398298,32578783,7584704,1318273,13384519,20714710,2636,122156,146874,150855,203113,34504642,17964830,62,17945472,74.5,16443453,76.1,3404554,91.2,15607087,53.8,15604768,64.7,14375127,66.6,3066541,82.1,1208667,5681596,8716524,300,1208390,5681046,8715033,299,1207225,5677625,7489995,282,167455,1463777,1435199,110,1978094,12.7,1974028,13.7,1514451,22.3,996857,32.5,807928,1151435,18671,60
11/10/2021,45,WA,13141925,660400,4966580,7514945,0,172582,202155,220805,1086360,10681348,10679707,9980903,2677321,422598,4012526,6238206,8018,140269,164280,167695,221317,10707101,5339722,70.1,5338089,82.1,4973410,83.6,1171532,96.8,4879793,64.1,4879500,75.1,4552904,76.5,1090575,90.2,414420,1774315,2688492,2566,414391,1774258,2688287,2564,414110,1773585,2362697,2512,56104,497045,536053,1373,753756,15.4,752715,16.5,600833,27.1,437866,40.2,264859,481344,7388,165
11/10/2021,45,AR,4632070,216400,1988040,2427630,0,153491,181135,199861,884182,3345747,3336841,3122772,979206,104182,1431851,1806659,3055,110867,130486,134739,186913,3372366,1771524,58.7,1764063,69,1645368,71,468728,89.5,1463416,48.5,1461901,57.2,1365957,58.9,399929,76.3,101953,617657,743032,774,101834,617646,741649,772,101436,616551,647229,741,14692,224671,160136,430,212045,14.5,211794,15.5,172056,22.4,126752,31.7,82458,127717,1494,376
11/10/2021,45,NJ,15821565,781600,6017420,9022545,0,178127,207676,227858,1072260,12703015,12681752,11787007,3068344,471214,4850168,7381073,560,143017,166463,169753,207948,13066239,6768992,76.2,6748284,88.6,6264980,90.2,1482266,99.9,5941273,66.9,5941028,78,5519499,79.5,1302172,88.3,466934,2160085,3314038,216,466852,2160049,3313911,216,466627,2159468,2893203,201,87520,606323,608264,65,776969,13.1,775987,14.1,626150,22,424568,32.6,296772,468960,11231,6
11/10/2021,45,KS,4528865,227800,1821760,2479305,0,155454,184724,204642,952469,3454402,3449588,3218036,1006673,114773,1341897,1994804,2928,118573,140702,145411,211714,3556097,1851640,63.6,1846529,75.3,1719995,77.7,494853,99.9,1564830,53.7,1564793,63.8,1458697,65.9,411842,86.6,111376,590126,862809,519,111368,590118,862788,519,111271,589782,757187,457,17536,196411,197665,230,221021,14.1,220723,15.1,180250,22.8,134573,32.7,79615,139559,1780,67
11/10/2021,45,NE,2983620,132700,1105400,1745520,0,154239,184469,204591,954887,2413459,2409735,2249892,691887,82654,881984,1443733,5088,124765,148987,154278,221434,2422209,1193358,61.7,1189680,73.6,1105545,75.8,294917,94.4,1095447,56.6,1095348,67.7,1020232,70,278941,89.3,81429,393159,619511,1348,81411,393135,619456,1346,81355,393000,544583,1294,6599,135561,135943,838,180080,16.4,179881,17.6,142842,26.5,106921,38.3,52703,126088,1196,93
11/10/2021,45,FL,36637745,2030900,14183700,20423145,0,170585,195965,212420,814654,29269365,29240582,27671506,9894704,1273770,10925642,16962639,107314,136278,156400,160435,220013,28986685,14993740,69.8,14966384,80.1,14119687,81.9,4473746,99.5,12939646,60.2,12937794,69.2,12239271,71,3902987,86.8,1243001,4550320,7114588,31737,1242193,4549599,7114269,31733,1241432,4548537,6417802,31500,203301,1882212,1798619,18855,1705266,13.2,1703455,13.9,1507772,20.9,1180241,30.2,702376,983817,16693,2380
11/10/2021,45,WV,3277485,137500,1294160,1845825,0,182880,210387,228782,893021,1595904,1594800,1521691,572088,42338,709447,843669,450,89050,102373,106220,155878,1626535,882241,49.2,881453,56.6,838227,58.5,297789,81.1,737000,41.1,736697,47.3,705200,49.2,263590,71.8,44518,320256,371963,263,44504,320167,371763,263,44448,319952,340561,239,6875,134075,122531,109,48941,6.6,48895,6.9,39848,8.8,28077,10.7,12462,36326,142,11
11/10/2021,45,AK,1226085,77000,476620,672465,0,167602,201368,222293,1338700,900255,897987,837971,186212,37561,350666,511335,693,123062,147482,151927,203315,896561,439841,60.1,438460,72,406742,73.7,82505,90.1,388583,53.1,387710,63.7,360418,65.3,75737,82.7,34704,146347,207453,79,34702,146343,206586,79,34567,145957,179820,74,3296,41811,30598,32,74808,19.3,74584,20.7,53228,31.3,32510,42.9,28538,45720,539,11
11/10/2021,45,LA,6496870,279600,2695600,3521670,0,139754,165596,182437,876745,4978892,4978409,4716695,1467806,169052,2041220,2766044,2576,107101,126893,132448,198079,4925222,2523629,54.3,2523254,64.3,2378256,66.8,654807,88.4,2235266,48.1,2235112,57,2118242,59.5,620995,83.8,160037,899166,1175093,970,160013,899144,1174986,969,159872,898678,1058732,960,21594,294685,304518,198,302700,13.5,302323,14.3,255033,20.9,187338,30.2,94302,206162,2222,14
